Site,Survey_ID,Recording_ID,Date,Time,Species,No_pulses,No_Matching,Match_ratio,MARGIN,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual
ERT,ERT_02_Sep_River,EPTFUS_20200902_204857,44076,0.867326389,EPTFUS,77,73,0.948,0.441576,27.939,38.37,8.042,51.418,27.305,34.218,198.713,29.107,6.035,366.79,7.505,13.22
ERT,ERT_02_Sep_River,EPTFUS_20200902_205220,44076,0.869675926,EPTFUS,71,41,0.577,0.247855,27.909,24.54,8.921,37.728,27.305,30.462,248.922,28.498,6.545,222.92,7.757,20.18
ERT,ERT_02_Sep_River,EPTFUS_20200902_205145,44076,0.869270833,EPTFUS,45,26,0.578,0.244272,28.618,29.5,7.112,38.873,27.991,31.423,374.457,29.677,4.77,180.57,6.167,13.37
ERT,ERT_02_Sep_River,EPTFUS_20200902_202247,44076,0.849155093,EPTFUS,38,28,0.737,0.444626,26.912,30.62,7.937,42.418,26.203,30.546,164.342,28.113,5.188,281.32,7.093,6.62
ERT,ERT_02_Sep_River,EPTFUS_20200902_203750,44076,0.859606481,EPTFUS,32,25,0.781,0.422743,26.88,22.71,7.418,36.75,26.39,29.387,287.667,27.513,5.492,194.07,6.651,9.19
ERT,ERT_02_Sep_River,EPTFUS_20200902_205203,44076,0.869479167,EPTFUS,30,15,0.5,0.194984,26.802,9.24,10.226,37.195,26.272,29.328,281.754,27.116,7.815,160.85,9.049,6.84
ERT,ERT_02_Sep_River,EPTFUS_20200902_201717,44076,0.845335648,EPTFUS,25,23,0.92,0.424489,30.642,76.71,4.633,54.847,30.092,37.228,187.304,32.478,3.441,349.78,4.397,6.04
ERT,ERT_02_Sep_River,EPTFUS_20200902_205238,44076,0.869884259,EPTFUS,24,19,0.792,0.252925,27.722,32.24,6.415,36.562,27.071,30,274.72,28.349,4.579,142.9,5.574,8.65
ERT,ERT_02_Sep_River,EPTFUS_20200902_202414,44076,0.850162037,EPTFUS,17,17,1,0.324584,32.084,94.22,2.95,47.903,31.487,37,126.248,34.549,1.96,473.45,2.78,4.55
ERT,ERT_02_Sep_River,EPTFUS_20200902_204915,44076,0.867534722,EPTFUS,9,7,0.778,0.140677,31.1,49.36,3.524,43.274,30.988,35.174,309.608,32.042,2.656,252.21,3.422,1.88
ERT,ERT_02_Sep_River,EPTFUS_20200902_201458,44076,0.843726852,EPTFUS,7,7,1,0.19881,30.828,99.28,3.157,43.813,30.544,34.9,171.183,32.925,2.104,408.73,3.063,1.31
ERT,ERT_06_Aug_River,EPTFUS_20200806_205438,44049,0.871273148,EPTFUS,138,128,0.928,0.362964,30.446,70.11,4.674,50.979,29.795,36.421,122.867,32.23,3.364,357.94,4.391,30.77
ERT,ERT_06_Aug_River,EPTFUS_20200806_213048,44049,0.896388889,EPTFUS,128,110,0.859,0.443042,28.181,39.66,6.847,43.259,27.716,31.965,133.165,29.663,4.552,319.72,6.435,21.84
ERT,ERT_06_Aug_River,EPTFUS_20200806_213201,44049,0.897233796,EPTFUS,127,96,0.756,0.425345,27.262,26.97,9.309,44.176,26.655,31.029,133.791,28.621,5.94,302.66,8.553,21.07
ERT,ERT_06_Aug_River,EPTFUS_20200806_213106,44049,0.896597222,EPTFUS,113,97,0.858,0.479606,27.706,40.97,8.205,48.575,26.877,32.577,150.695,29.166,5.642,372.25,7.526,20.42
ERT,ERT_06_Aug_River,EPTFUS_20200806_213220,44049,0.897453704,EPTFUS,107,97,0.907,0.543193,27.488,34.22,8.654,46.949,26.575,31.926,158.642,29.151,5.377,251.74,7.905,17.29
ERT,ERT_06_Aug_River,EPTFUS_20200806_213010,44049,0.895949074,EPTFUS,105,95,0.905,0.548233,27.44,29.56,8.591,46.833,26.865,31.775,158.701,28.821,5.613,325.52,8.021,14.25
ERT,ERT_06_Aug_River,EPTFUS_20200806_213143,44049,0.897025463,EPTFUS,101,76,0.752,0.455604,26.875,29.35,9.208,44.418,26.062,30.826,169.515,28.173,6.087,297.25,8.23,21.44
ERT,ERT_06_Aug_River,EPTFUS_20200806_213351,44049,0.898506944,EPTFUS,99,77,0.778,0.473903,26.963,21.36,10.074,44.48,26.332,30.697,168.831,28.128,6.871,356.05,9.185,13.96
ERT,ERT_06_Aug_River,EPTFUS_20200806_213242,44049,0.897708333,EPTFUS,98,76,0.776,0.423922,27.887,34.83,7.817,44.689,27.18,31.894,165.992,29.556,4.725,313.52,7.108,17.99
ERT,ERT_06_Aug_River,EPTFUS_20200806_213029,44049,0.896168981,EPTFUS,94,75,0.798,0.476332,27.333,32.33,8.622,44.499,26.697,31.175,178.775,29.071,5.174,315.07,7.97,12.1
ERT,ERT_06_Aug_River,EPTFUS_20200806_213125,44049,0.89681713,EPTFUS,93,75,0.806,0.46571,26.723,32.9,9.793,42.917,25.975,30.685,182.249,28.244,6.409,297.86,8.933,14.25
ERT,ERT_06_Aug_River,EPTFUS_20200806_213317,44049,0.898113426,EPTFUS,88,82,0.932,0.491398,27.836,38.12,7.669,44.833,27.017,32.047,190.997,29.263,5.09,298.73,7.015,15.8
ERT,ERT_06_Aug_River,EPTFUS_20200806_212952,44049,0.895740741,EPTFUS,87,76,0.874,0.542651,27.638,31.29,8.57,47.927,27.071,31.985,159.451,29.146,5.563,356.45,7.937,13
ERT,ERT_06_Aug_River,EPTFUS_20200806_212904,44049,0.895185185,EPTFUS,73,61,0.836,0.514275,27.014,28.82,9.398,45.877,26.197,31.296,200.114,28.386,6.281,302.34,8.557,12.42
ERT,ERT_06_Aug_River,EPTFUS_20200806_213336,44049,0.898333333,EPTFUS,70,40,0.571,0.366362,27.19,28.32,8.093,39.601,26.662,30.138,200.845,28.519,5.075,259.67,7.35,12.87
ERT,ERT_06_Aug_River,EPTFUS_20200806_212846,44049,0.894976852,EPTFUS,67,38,0.567,0.334522,26.479,19.32,9.256,38.298,25.842,29.142,257.487,27.241,6.464,267.4,8.284,18.1
ERT,ERT_06_Aug_River,EPTFUS_20200806_213308,44049,0.898009259,EPTFUS,56,54,0.964,0.461651,29.08,50.94,6.654,51.18,28.082,34.208,155.255,30.677,4.521,343.06,6.063,15.52
ERT,ERT_06_Aug_River,EPTFUS_20200806_205414,44049,0.87099537,EPTFUS,50,39,0.78,0.272215,30.675,82.35,3.487,46.376,29.84,35.296,275.444,32.497,2.353,366.76,3.214,13.75
ERT,ERT_06_Aug_River,EPTFUS_20200806_212738,44049,0.894189815,EPTFUS,48,48,1,0.411091,30.578,30.23,6.679,55.192,29.943,36.794,134.565,31.395,5.25,413.93,6.305,9.13
ERT,ERT_06_Aug_River,EPTFUS_20200806_205503,44049,0.8715625,EPTFUS,46,43,0.935,0.435055,30.107,79,4.947,54.297,29.379,37.255,117.631,32.066,3.652,371.2,4.713,7.63
ERT,ERT_06_Aug_River,EPTFUS_20200806_205457,44049,0.871493056,EPTFUS,35,34,0.971,0.406539,30.063,60.17,5.253,53.419,29.382,36.497,123.106,31.501,3.883,379.11,4.972,9.25
ERT,ERT_06_Aug_River,EPTFUS_20200806_205333,44049,0.870520833,EPTFUS,35,32,0.914,0.431431,30.386,79.83,5.56,59.547,29.674,38.346,151.021,32.411,4.246,451.22,5.329,4.89
ERT,ERT_06_Aug_River,EPTFUS_20200806_213300,44049,0.897916667,EPTFUS,35,32,0.914,0.502417,28.158,37.35,7.248,43.141,27.532,31.889,188.251,29.638,4.592,305.3,6.618,6.04
ERT,ERT_06_Aug_River,EPTFUS_20200806_212836,44049,0.894861111,EPTFUS,28,15,0.536,0.281662,26.672,13.48,7.437,33.604,26.119,28.483,344.697,27.119,5.227,142.41,6.516,9.67
ERT,ERT_06_Aug_River,EPTFUS_20200806_205428,44049,0.871157407,EPTFUS,17,15,0.882,0.407821,27.449,45.14,4.599,38.165,27.079,30.6,252.476,28.804,2.964,243.3,4.38,3.03
ERT,ERT_06_Aug_River,EPTFUS_20200806_205317,44049,0.870335648,EPTFUS,14,13,0.929,0.290471,29.366,86.99,3.471,38.913,29.066,32.487,227.709,31.524,2.198,269.86,3.229,3.33
ERT,ERT_06_Aug_River,EPTFUS_20200806_213238,44049,0.897662037,EPTFUS,12,8,0.667,0.332113,27.22,31.19,7.323,37.11,26.335,29.31,265.529,28.58,3.882,238.81,6.335,4.83
